Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-02,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-03,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-04,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-05,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-08,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-09,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-10,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-11,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-12,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-15,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-16,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-17,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-18,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-19,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-22,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-23,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-24,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-25,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-26,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-29,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-01-30,0.11383800208568573,0.11383800208568573,0.11383800208568573,0.11383800208568573,0,0,0.0
1996-02-01,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-02,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-05,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-06,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-07,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-08,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-09,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-12,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-13,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-14,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-15,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-16,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-19,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-20,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-21,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-22,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-23,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-26,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-27,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-02-28,0.1043509989976883,0.1043509989976883,0.1043509989976883,0.1043509989976883,0,0,0.0
1996-03-01,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-04,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-05,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-06,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-07,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-08,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-11,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-12,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-13,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-14,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-15,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-18,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-19,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-20,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-21,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-22,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-25,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-26,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-27,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-03-28,0.10909400135278702,0.10909400135278702,0.10909400135278702,0.10909400135278702,0,0,0.0
1996-04-01,0.09486500173807144,0.09486500173807144,0.09486500173807144,0.09486500173807144,0,0,0.0
1996-04-02,0.09486500173807144,0.09486500173807144,0.09486500173807144,0.09486500173807144,0,0,0.0
1996-04-03,0.09486500173807144,0.09486500173807144,0.09486500173807144,0.09486500173807144,0,0,0.0
1996-04-04,0.09486500173807144,0.09486500173807144,0.09486500173807144,0.09486500173807144,0,0,0.0
1996-04-05,0.09486500173807144,0.09486500173807144,0.09486500173807144,0.09486500173807144,0,0,0.0
1996-04-08,0.09486500173807144,0.09486500173807144,0.09486500173807144,0.09486500173807144,0,0,0.0
1996-04-09,0.09486500173807144,0.09486500173807144,0.09486500173807144,0.09486500173807144,0,0,0.0
1996-04-10,0.09486500173807144,0.09486500173807144,0.09486500173807144,0.09486500173807144,0,0,0.0
1996-04-11,0.09486500173807144,0.09486500173807144,0.09486500173807144,0.09486500173807144,0,0,0.0
1996-04-12,0.09486500173807144,0.09486500173807144,0.09486500173807144,0.09486500173807144,0,0,0.0
1996-04-15,0.09486500173807144,0.09486500173807144,0.09486500173807144,0.09486500173807144,0,0,0.0
1996-04-16,0.09486500173807144,0.09486500173807144,0.09486500173807144,0.09486500173807144,0,0,0.0
1996-04-17,0.09486500173807144,0.09486500173807144,0.09486500173807144,0.09486500173807144,0,0,0.0
