Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-07-02,1255.9090576171875,1261.571044921875,1147.3310546875,1199.06103515625,0,0,0
1997-07-03,1194.676025390625,1194.676025390625,1149.93994140625,1150.623046875,0,0,0
1997-07-04,1138.9210205078125,1163.2490234375,1124.7760009765625,1159.342041015625,0,0,0
1997-07-07,1161.70703125,1163.447021484375,1085.572021484375,1096.8189697265625,0,0,0
1997-07-08,1092.7989501953125,1115.4329833984375,1066.0439453125,1109.666015625,0,0,0
1997-07-09,1113.6409912109375,1122.6739501953125,1104.0860595703125,1120.8409423828125,0,0,0
1997-07-10,1121.259033203125,1137.8690185546875,1115.2120361328125,1120.154052734375,0,0,0
1997-07-11,1116.4150390625,1155.0560302734375,1114.39697265625,1154.7939453125,0,0,0
1997-07-14,1189.4739990234375,1201.2139892578125,1180.1910400390625,1200.114013671875,0,0,0
1997-07-16,1201.594970703125,1204.85498046875,1184.4449462890625,1190.8260498046875,0,0,0
1997-07-17,1188.2669677734375,1203.5040283203125,1180.9339599609375,1197.2259521484375,0,0,0
1997-07-18,1199.3990478515625,1210.43994140625,1191.2889404296875,1209.8570556640625,0,0,0
1997-07-21,1215.8389892578125,1218.48095703125,1188.875,1193.5250244140625,0,0,0
1997-07-22,1189.1180419921875,1208.261962890625,1163.468017578125,1208.248046875,0,0,0
1997-07-23,1219.0550537109375,1223.822998046875,1194.7030029296875,1198.8609619140625,0,0,0
1997-07-24,1194.7049560546875,1200.3089599609375,1172.366943359375,1174.217041015625,0,0,0
1997-07-25,1166.5660400390625,1177.6529541015625,1158.135986328125,1170.862060546875,0,0,0
1997-07-28,1167.81298828125,1167.8800048828125,1138.4749755859375,1141.7769775390625,0,0,0
1997-07-29,1137.3189697265625,1161.1949462890625,1133.175048828125,1153.22900390625,0,0,0
1997-07-30,1157.0899658203125,1179.47802734375,1157.0040283203125,1179.4210205078125,0,0,0
1997-07-31,1184.93701171875,1192.199951171875,1179.7149658203125,1189.760009765625,0,0,0
1997-08-01,1191.6510009765625,1194.031005859375,1182.2230224609375,1192.8280029296875,0,0,0
1997-08-04,1196.2540283203125,1201.9200439453125,1188.676025390625,1200.3330078125,0,0,0
1997-08-05,1203.3580322265625,1207.22802734375,1193.696044921875,1196.2740478515625,0,0,0
1997-08-06,1196.0350341796875,1197.4449462890625,1170.2669677734375,1171.9410400390625,0,0,0
1997-08-07,1167.927001953125,1199.239990234375,1161.6319580078125,1199.239990234375,0,0,0
1997-08-08,1205.9520263671875,1216.56103515625,1201.3580322265625,1206.052978515625,0,0,0
1997-08-11,1206.4560546875,1206.759033203125,1182.447021484375,1184.0830078125,0,0,0
1997-08-12,1177.260986328125,1183.43603515625,1145.748046875,1146.8089599609375,0,0,0
1997-08-13,1139.2459716796875,1153.4949951171875,1118.2020263671875,1120.126953125,0,0,0
1997-08-14,1120.470947265625,1168.3349609375,1120.2449951171875,1168.113037109375,0,0,0
1997-08-15,1174.1829833984375,1174.8819580078125,1133.8900146484375,1143.06396484375,0,0,0
1997-08-18,1139.60595703125,1139.60595703125,1116.14794921875,1134.634033203125,0,0,0
1997-08-19,1134.616943359375,1143.2010498046875,1128.1090087890625,1132.905029296875,0,0,0
1997-08-20,1135.050048828125,1144.64599609375,1133.741943359375,1144.6390380859375,0,0,0
1997-08-21,1148.386962890625,1165.218017578125,1147.8160400390625,1164.5450439453125,0,0,0
1997-08-22,1159.385986328125,1174.4859619140625,1156.8260498046875,1171.8330078125,0,0,0
1997-08-25,1175.4449462890625,1184.333984375,1175.384033203125,1184.095947265625,0,0,0
1997-08-26,1186.0689697265625,1194.1309814453125,1181.2430419921875,1194.04296875,0,0,0
1997-08-27,1195.427978515625,1199.4739990234375,1188.3310546875,1198.512939453125,0,0,0
1997-08-28,1201.0589599609375,1216.0760498046875,1194.675048828125,1213.8919677734375,0,0,0
1997-08-29,1214.31005859375,1223.071044921875,1209.47900390625,1221.06396484375,0,0,0
1997-09-01,1224.177001953125,1230.0660400390625,1219.1009521484375,1229.864990234375,0,0,0
1997-09-02,1228.4749755859375,1232.6910400390625,1215.9219970703125,1226.302978515625,0,0,0
