Time,ipi_Estonia
1999-01-01,40.9
1999-01-31,42.07
1999-03-02,51.32
1999-04-02,50.15
1999-05-02,50.74
1999-06-02,53.08
1999-07-02,45.67
1999-08-01,51.32
1999-09-01,54.54
1999-10-01,54.93
1999-11-01,55.22
1999-12-01,52.59
2000-01-01,48.8
2000-01-31,52.6
2000-03-01,60.8
2000-04-01,56.4
2000-05-01,63.1
2000-06-01,64.5
2000-07-01,51.0
2000-07-31,63.3
2000-08-31,63.2
2000-09-30,63.4
2000-10-31,63.6
2000-11-30,56.4
2001-01-01,59.5
2001-01-31,57.7
2001-03-02,67.4
2001-04-02,61.6
2001-05-02,71.1
2001-06-02,67.1
2001-07-02,58.3
2001-08-01,65.8
2001-09-01,65.7
2001-10-01,72.9
2001-11-01,71.2
2001-12-01,58.9
2002-01-01,61.2
2002-01-31,61.7
2002-03-02,66.9
2002-04-02,74.1
2002-05-02,77.7
2002-06-02,70.0
2002-07-02,65.5
2002-08-01,71.6
2002-09-01,76.8
2002-10-01,81.5
2002-11-01,75.0
2002-12-01,65.0
2003-01-01,66.5
2003-01-31,67.5
2003-03-02,78.1
2003-04-02,78.2
2003-05-02,82.5
2003-06-02,78.0
2003-07-02,72.3
2003-08-01,77.5
2003-09-01,86.6
2003-10-01,90.2
2003-11-01,82.8
2003-12-01,76.5
2004-01-01,72.4
2004-01-31,74.4
2004-03-01,90.4
2004-04-01,87.9
2004-05-01,90.2
2004-06-01,87.5
2004-07-01,80.0
2004-07-31,89.1
2004-08-31,95.9
2004-09-30,93.5
2004-10-31,94.6
2004-11-30,89.4
2005-01-01,80.1
2005-01-31,83.2
2005-03-02,98.6
2005-04-02,98.8
2005-05-02,102.7
2005-06-02,101.2
2005-07-02,86.3
2005-08-01,100.2
2005-09-01,106.4
2005-10-01,103.9
2005-11-01,107.5
2005-12-01,99.8
2006-01-01,90.0
2006-01-31,88.9
2006-03-02,111.9
2006-04-02,102.6
2006-05-02,118.7
2006-06-02,114.4
2006-07-02,95.2
2006-08-01,114.0
2006-09-01,116.1
2006-10-01,118.8
2006-11-01,116.8
2006-12-01,104.0
2007-01-01,102.2
2007-01-31,103.2
2007-03-02,120.1
2007-04-02,113.5
2007-05-02,124.4
2007-06-02,121.6
2007-07-02,103.1
2007-08-01,116.3
2007-09-01,116.9
2007-10-01,126.9
2007-11-01,120.1
2007-12-01,100.8
2008-01-01,107.0
2008-01-31,110.7
2008-03-01,112.2
2008-04-01,122.8
2008-05-01,117.0
2008-06-01,113.7
2008-07-01,107.3
2008-07-31,107.0
2008-08-31,118.9
2008-09-30,111.1
2008-10-31,95.8
2008-11-30,84.0
2009-01-01,76.5
2009-01-31,74.6
2009-03-02,83.7
2009-04-02,78.5
2009-05-02,80.8
2009-06-02,81.8
2009-07-02,77.7
2009-08-01,81.4
2009-09-01,87.8
2009-10-01,87.3
2009-11-01,86.5
2009-12-01,77.4
2010-01-01,74.9
2010-01-31,78.3
2010-03-02,96.9
2010-04-02,95.4
2010-05-02,99.9
2010-06-02,99.8
2010-07-02,92.4
2010-08-01,101.3
2010-09-01,115.3
2010-10-01,118.3
2010-11-01,118.6
2010-12-01,108.9
2011-01-01,106.0
2011-01-31,105.8
2011-03-02,131.7
2011-04-02,120.7
2011-05-02,132.0
2011-06-02,123.9
2011-07-02,112.0
2011-08-01,133.3
2011-09-01,130.7
2011-10-01,129.8
2011-11-01,129.7
2011-12-01,115.5
2012-01-01,114.8
2012-01-31,111.7
2012-03-01,129.6
2012-04-01,121.0
2012-05-01,134.5
2012-06-01,132.8
2012-07-01,111.4
2012-07-31,129.0
2012-08-31,131.6
2012-09-30,134.5
2012-10-31,133.1
2012-11-30,112.1
2013-01-01,118.5
2013-01-31,114.6
2013-03-02,127.7
2013-04-02,129.9
2013-05-02,139.7
2013-06-02,127.5
2013-07-02,118.5
2013-08-01,124.9
2013-09-01,133.0
2013-10-01,142.8
2013-11-01,133.7
2013-12-01,112.4
