Time,hicp_011200
1995-01-01,83.38
1995-02-01,83.38
1995-03-01,83.55
1995-04-01,83.72
1995-05-01,83.8
1995-06-01,83.8
1995-07-01,83.98
1995-08-01,84.32
1995-09-01,84.58
1995-10-01,84.58
1995-11-01,84.84
1995-12-01,84.75
1996-01-01,84.66
1996-02-01,84.66
1996-03-01,84.58
1996-04-01,85.09
1996-05-01,85.87
1996-06-01,86.21
1996-07-01,86.47
1996-08-01,86.73
1996-09-01,86.9
1996-10-01,86.73
1996-11-01,86.73
1996-12-01,86.81
1997-01-01,86.56
1997-02-01,86.38
1997-03-01,86.3
1997-04-01,86.3
1997-05-01,87.33
1997-06-01,87.76
1997-07-01,87.93
1997-08-01,88.19
1997-09-01,88.45
1997-10-01,88.19
1997-11-01,88.36
1997-12-01,88.53
1998-01-01,88.27
1998-02-01,88.1
1998-03-01,87.93
1998-04-01,87.93
1998-05-01,87.67
1998-06-01,87.67
1998-07-01,87.76
1998-08-01,87.84
1998-09-01,87.67
1998-10-01,87.33
1998-11-01,86.81
1998-12-01,86.81
1999-01-01,86.47
1999-02-01,86.38
1999-03-01,86.21
1999-04-01,86.13
1999-05-01,85.95
1999-06-01,86.04
1999-07-01,86.3
1999-08-01,86.47
1999-09-01,86.73
1999-10-01,86.73
1999-11-01,86.81
1999-12-01,86.99
2000-01-01,86.99
2000-02-01,87.07
2000-03-01,87.24
2000-04-01,87.5
2000-05-01,87.76
2000-06-01,87.93
2000-07-01,88.45
2000-08-01,88.79
2000-09-01,89.13
2000-10-01,89.31
2000-11-01,89.48
2000-12-01,90.25
2001-01-01,91.11
2001-02-01,92.4
2001-03-01,93.69
2001-04-01,94.98
2001-05-01,95.67
2001-06-01,95.84
2001-07-01,96.1
2001-08-01,96.35
2001-09-01,96.35
2001-10-01,96.01
2001-11-01,96.01
2001-12-01,96.18
2002-01-01,96.01
2002-02-01,95.75
2002-03-01,95.67
2002-04-01,95.84
2002-05-01,95.84
2002-06-01,95.75
2002-07-01,95.84
2002-08-01,96.1
2002-09-01,96.27
2002-10-01,96.18
2002-11-01,96.27
2002-12-01,96.44
2003-01-01,96.27
2003-02-01,96.35
2003-03-01,96.35
2003-04-01,96.44
2003-05-01,96.61
2003-06-01,96.7
2003-07-01,97.21
2003-08-01,97.82
2003-09-01,98.07
2003-10-01,98.07
2003-11-01,98.07
2003-12-01,98.07
2004-01-01,97.99
2004-02-01,97.9
2004-03-01,98.07
2004-04-01,98.07
2004-05-01,98.25
2004-06-01,98.42
2004-07-01,98.93
2004-08-01,99.19
2004-09-01,99.02
2004-10-01,99.28
2004-11-01,99.36
2004-12-01,99.53
2005-01-01,99.53
2005-02-01,99.53
2005-03-01,99.53
2005-04-01,99.71
2005-05-01,99.96
2005-06-01,99.96
2005-07-01,100.05
2005-08-01,100.31
2005-09-01,100.22
2005-10-01,100.14
2005-11-01,100.31
2005-12-01,100.74
2006-01-01,100.85
2006-02-01,101.06
2006-03-01,100.96
2006-04-01,101.16
2006-05-01,101.63
2006-06-01,102.13
2006-07-01,102.73
2006-08-01,103.18
2006-09-01,103.47
2006-10-01,103.64
2006-11-01,103.73
2006-12-01,104.0
2007-01-01,103.98
2007-02-01,103.86
2007-03-01,104.0
2007-04-01,104.48
2007-05-01,104.61
2007-06-01,104.73
2007-07-01,104.88
2007-08-01,105.33
2007-09-01,105.77
2007-10-01,106.4
2007-11-01,106.73
2007-12-01,107.19
2008-01-01,107.58
2008-02-01,107.67
2008-03-01,107.9
2008-04-01,108.27
2008-05-01,108.67
2008-06-01,108.91
2008-07-01,109.32
2008-08-01,109.93
2008-09-01,110.27
2008-10-01,110.55
2008-11-01,110.78
2008-12-01,111.01
2009-01-01,111.16
2009-02-01,111.06
2009-03-01,110.81
2009-04-01,110.66
2009-05-01,110.6
2009-06-01,110.5
2009-07-01,110.6
2009-08-01,110.81
2009-09-01,110.76
2009-10-01,110.61
2009-11-01,110.51
2009-12-01,110.55
2010-01-01,110.41
2010-02-01,110.37
2010-03-01,110.17
2010-04-01,110.43
2010-05-01,110.46
2010-06-01,110.44
2010-07-01,110.65
2010-08-01,110.87
2010-09-01,110.88
2010-10-01,111.08
2010-11-01,111.19
2010-12-01,111.29
2011-01-01,111.4
2011-02-01,111.61
2011-03-01,111.98
2011-04-01,112.32
2011-05-01,112.73
2011-06-01,113.0
2011-07-01,113.55
2011-08-01,114.0
2011-09-01,114.34
2011-10-01,114.64
2011-11-01,114.81
2011-12-01,115.34
2012-01-01,115.56
2012-02-01,115.84
2012-03-01,115.91
2012-04-01,116.05
2012-05-01,116.31
2012-06-01,116.42
2012-07-01,116.65
2012-08-01,117.03
2012-09-01,117.56
2012-10-01,118.25
2012-11-01,118.99
2012-12-01,119.41
2013-01-01,119.6
2013-02-01,119.62
2013-03-01,119.63
2013-04-01,119.69
2013-05-01,119.8
2013-06-01,119.93
2013-07-01,120.15
2013-08-01,120.56
2013-09-01,120.47
2013-10-01,120.56
2013-11-01,120.6
2013-12-01,120.78
