Time,ipi_Finland
1999-01-01,74.6
1999-02-01,75.0
1999-03-01,88.5
1999-04-01,87.0
1999-05-01,87.0
1999-06-01,84.7
1999-07-01,67.0
1999-08-01,80.9
1999-09-01,90.5
1999-10-01,90.7
1999-11-01,89.4
1999-12-01,87.3
2000-01-01,81.2
2000-02-01,82.5
2000-03-01,95.4
2000-04-01,88.1
2000-05-01,101.3
2000-06-01,89.4
2000-07-01,73.8
2000-08-01,95.1
2000-09-01,100.6
2000-10-01,110.1
2000-11-01,104.2
2000-12-01,87.7
2001-01-01,92.7
2001-02-01,85.9
2001-03-01,101.3
2001-04-01,87.5
2001-05-01,98.4
2001-06-01,88.0
2001-07-01,71.6
2001-08-01,96.1
2001-09-01,97.2
2001-10-01,108.8
2001-11-01,102.1
2001-12-01,80.3
2002-01-01,85.6
2002-02-01,81.5
2002-03-01,96.0
2002-04-01,98.4
2002-05-01,101.0
2002-06-01,92.6
2002-07-01,82.1
2002-08-01,94.0
2002-09-01,99.3
2002-10-01,111.7
2002-11-01,104.0
2002-12-01,86.3
2003-01-01,87.0
2003-02-01,86.5
2003-03-01,93.4
2003-04-01,97.3
2003-05-01,97.3
2003-06-01,92.4
2003-07-01,82.1
2003-08-01,92.2
2003-09-01,102.3
2003-10-01,110.5
2003-11-01,100.9
2003-12-01,93.8
2004-01-01,85.8
2004-02-01,86.5
2004-03-01,102.3
2004-04-01,98.3
2004-05-01,103.3
2004-06-01,102.9
2004-07-01,87.2
2004-08-01,102.8
2004-09-01,110.3
2004-10-01,114.8
2004-11-01,110.0
2004-12-01,107.0
2005-01-01,91.2
2005-02-01,89.8
2005-03-01,100.7
2005-04-01,104.4
2005-05-01,101.3
2005-06-01,95.5
2005-07-01,89.2
2005-08-01,104.7
2005-09-01,110.8
2005-10-01,118.7
2005-11-01,113.6
2005-12-01,104.2
2006-01-01,97.9
2006-02-01,97.0
2006-03-01,113.5
2006-04-01,106.4
2006-05-01,121.1
2006-06-01,114.9
2006-07-01,100.9
2006-08-01,114.7
2006-09-01,116.7
2006-10-01,121.9
2006-11-01,118.8
2006-12-01,105.8
2007-01-01,102.0
2007-02-01,102.7
2007-03-01,119.7
2007-04-01,111.4
2007-05-01,126.0
2007-06-01,121.6
2007-07-01,110.2
2007-08-01,121.2
2007-09-01,120.8
2007-10-01,129.7
2007-11-01,132.4
2007-12-01,110.0
2008-01-01,111.6
2008-02-01,111.6
2008-03-01,115.4
2008-04-01,128.3
2008-05-01,131.3
2008-06-01,120.4
2008-07-01,117.6
2008-08-01,114.4
2008-09-01,130.9
2008-10-01,135.0
2008-11-01,117.9
2008-12-01,100.3
2009-01-01,78.3
2009-02-01,86.5
2009-03-01,98.7
2009-04-01,92.7
2009-05-01,95.7
2009-06-01,99.1
2009-07-01,91.1
2009-08-01,92.8
2009-09-01,104.5
2009-10-01,104.4
2009-11-01,100.5
2009-12-01,98.6
2010-01-01,73.1
2010-02-01,82.6
2010-03-01,100.0
2010-04-01,90.9
2010-05-01,105.2
2010-06-01,110.0
2010-07-01,91.1
2010-08-01,102.8
2010-09-01,111.8
2010-10-01,113.8
2010-11-01,110.4
2010-12-01,108.3
2011-01-01,80.6
2011-02-01,88.7
2011-03-01,107.2
2011-04-01,95.5
2011-05-01,112.8
2011-06-01,104.1
2011-07-01,89.5
2011-08-01,107.1
2011-09-01,113.5
2011-10-01,112.0
2011-11-01,113.6
2011-12-01,111.4
2012-01-01,81.1
2012-02-01,85.8
2012-03-01,106.4
2012-04-01,93.0
2012-05-01,112.4
2012-06-01,103.7
2012-07-01,92.1
2012-08-01,106.4
2012-09-01,104.4
2012-10-01,117.0
2012-11-01,110.8
2012-12-01,100.6
2013-01-01,78.2
2013-02-01,79.8
2013-03-01,94.9
2013-04-01,89.7
2013-05-01,103.6
2013-06-01,95.0
2013-07-01,90.4
2013-08-01,100.2
2013-09-01,102.8
2013-10-01,115.0
2013-11-01,107.4
2013-12-01,104.2
