Time,ipi_Slovenia
1999-01-01,69.7
1999-02-01,69.0
1999-03-01,84.3
1999-04-01,72.5
1999-05-01,80.9
1999-06-01,84.6
1999-07-01,77.7
1999-08-01,67.2
1999-09-01,85.4
1999-10-01,84.4
1999-11-01,84.6
1999-12-01,76.9
2000-01-01,72.9
2000-02-01,78.0
2000-03-01,90.6
2000-04-01,77.2
2000-05-01,89.6
2000-06-01,93.2
2000-07-01,83.7
2000-08-01,72.2
2000-09-01,89.0
2000-10-01,89.2
2000-11-01,92.2
2000-12-01,75.5
2001-01-01,81.3
2001-02-01,80.6
2001-03-01,92.6
2001-04-01,84.0
2001-05-01,91.4
2001-06-01,89.2
2001-07-01,90.0
2001-08-01,74.8
2001-09-01,87.8
2001-10-01,95.9
2001-11-01,91.1
2001-12-01,72.9
2002-01-01,81.7
2002-02-01,82.7
2002-03-01,91.3
2002-04-01,92.6
2002-05-01,90.2
2002-06-01,85.5
2002-07-01,93.2
2002-08-01,75.8
2002-09-01,93.6
2002-10-01,96.6
2002-11-01,92.1
2002-12-01,76.6
2003-01-01,81.8
2003-02-01,85.1
2003-03-01,92.1
2003-04-01,89.6
2003-05-01,89.6
2003-06-01,88.4
2003-07-01,91.3
2003-08-01,73.3
2003-09-01,96.7
2003-10-01,100.4
2003-11-01,97.7
2003-12-01,83.1
2004-01-01,84.3
2004-02-01,88.0
2004-03-01,103.0
2004-04-01,92.0
2004-05-01,93.3
2004-06-01,97.2
2004-07-01,93.6
2004-08-01,79.8
2004-09-01,100.8
2004-10-01,99.5
2004-11-01,99.4
2004-12-01,85.0
2005-01-01,88.7
2005-02-01,84.8
2005-03-01,100.5
2005-04-01,95.2
2005-05-01,100.3
2005-06-01,104.7
2005-07-01,98.8
2005-08-01,80.3
2005-09-01,105.5
2005-10-01,102.6
2005-11-01,107.0
2005-12-01,91.6
2006-01-01,95.0
2006-02-01,92.1
2006-03-01,107.3
2006-04-01,94.4
2006-05-01,108.1
2006-06-01,107.8
2006-07-01,105.5
2006-08-01,88.5
2006-09-01,110.5
2006-10-01,112.3
2006-11-01,116.0
2006-12-01,94.4
2007-01-01,104.8
2007-02-01,102.1
2007-03-01,116.9
2007-04-01,108.1
2007-05-01,113.7
2007-06-01,115.8
2007-07-01,116.7
2007-08-01,97.1
2007-09-01,115.7
2007-10-01,126.6
2007-11-01,121.1
2007-12-01,98.2
2008-01-01,110.9
2008-02-01,116.0
2008-03-01,119.2
2008-04-01,124.9
2008-05-01,118.4
2008-06-01,123.6
2008-07-01,118.7
2008-08-01,95.9
2008-09-01,127.0
2008-10-01,127.5
2008-11-01,106.0
2008-12-01,83.2
2009-01-01,89.9
2009-02-01,88.4
2009-03-01,98.7
2009-04-01,85.5
2009-05-01,90.4
2009-06-01,95.8
2009-07-01,92.5
2009-08-01,77.4
2009-09-01,105.2
2009-10-01,101.0
2009-11-01,103.2
2009-12-01,87.5
2010-01-01,83.3
2010-02-01,88.6
2010-03-01,109.0
2010-04-01,95.2
2010-05-01,104.9
2010-06-01,107.0
2010-07-01,99.4
2010-08-01,88.1
2010-09-01,109.4
2010-10-01,107.3
2010-11-01,109.3
2010-12-01,98.7
2011-01-01,94.0
2011-02-01,93.6
2011-03-01,115.2
2011-04-01,96.8
2011-05-01,109.6
2011-06-01,109.6
2011-07-01,96.9
2011-08-01,85.2
2011-09-01,111.4
2011-10-01,103.2
2011-11-01,107.5
2011-12-01,90.0
2012-01-01,94.0
2012-02-01,95.4
2012-03-01,110.4
2012-04-01,98.6
2012-05-01,103.6
2012-06-01,104.2
2012-07-01,98.6
2012-08-01,86.6
2012-09-01,102.0
2012-10-01,108.0
2012-11-01,101.6
2012-12-01,81.8
2013-01-01,93.1
2013-02-01,94.6
2013-03-01,100.9
2013-04-01,101.3
2013-05-01,101.0
2013-06-01,98.9
2013-07-01,100.1
2013-08-01,81.1
2013-09-01,103.1
2013-10-01,106.2
2013-11-01,101.9
2013-12-01,88.2
