Time,ipi_Portugal
1999-01-01,105.25
1999-02-01,103.51
1999-03-01,120.18
1999-04-01,112.0
1999-05-01,112.33
1999-06-01,111.24
1999-07-01,121.59
1999-08-01,81.93
1999-09-01,113.2
1999-10-01,114.4
1999-11-01,115.6
1999-12-01,102.85
2000-01-01,121.25
2000-02-01,119.95
2000-03-01,124.51
2000-04-01,107.11
2000-05-01,125.49
2000-06-01,124.08
2000-07-01,125.6
2000-08-01,88.63
2000-09-01,128.43
2000-10-01,133.0
2000-11-01,129.62
2000-12-01,106.68
2001-01-01,121.14
2001-02-01,115.49
2001-03-01,131.91
2001-04-01,116.68
2001-05-01,129.95
2001-06-01,123.43
2001-07-01,127.78
2001-08-01,88.3
2001-09-01,121.36
2001-10-01,132.02
2001-11-01,130.06
2001-12-01,106.79
2002-01-01,123.86
2002-02-01,116.79
2002-03-01,128.75
2002-04-01,127.78
2002-05-01,130.39
2002-06-01,120.6
2002-07-01,136.15
2002-08-01,87.87
2002-09-01,125.6
2002-10-01,136.37
2002-11-01,125.27
2002-12-01,107.55
2003-01-01,123.1
2003-02-01,120.71
2003-03-01,120.82
2003-04-01,120.16
2003-05-01,126.25
2003-06-01,117.12
2003-07-01,134.41
2003-08-01,82.21
2003-09-01,124.62
2003-10-01,135.39
2003-11-01,125.93
2003-12-01,107.11
2004-01-01,117.99
2004-02-01,110.92
2004-03-01,131.04
2004-04-01,119.73
2004-05-01,122.34
2004-06-01,120.92
2004-07-01,127.34
2004-08-01,83.62
2004-09-01,116.9
2004-10-01,118.31
2004-11-01,122.99
2004-12-01,106.03
2005-01-01,109.18
2005-02-01,105.16
2005-03-01,113.96
2005-04-01,109.94
2005-05-01,109.61
2005-06-01,114.83
2005-07-01,115.38
2005-08-01,82.65
2005-09-01,115.38
2005-10-01,112.12
2005-11-01,116.03
2005-12-01,100.7
2006-01-01,110.16
2006-02-01,103.31
2006-03-01,122.45
2006-04-01,102.66
2006-05-01,120.71
2006-06-01,118.1
2006-07-01,117.55
2006-08-01,88.19
2006-09-01,117.99
2006-10-01,119.4
2006-11-01,121.79
2006-12-01,100.92
2007-01-01,116.03
2007-02-01,108.09
2007-03-01,124.51
2007-04-01,108.2
2007-05-01,121.79
2007-06-01,115.81
2007-07-01,120.6
2007-08-01,88.95
2007-09-01,114.94
2007-10-01,123.32
2007-11-01,118.64
2007-12-01,100.59
2008-01-01,115.81
2008-02-01,111.68
2008-03-01,111.35
2008-04-01,114.73
2008-05-01,110.81
2008-06-01,111.68
2008-07-01,120.71
2008-08-01,82.97
2008-09-01,114.07
2008-10-01,116.57
2008-11-01,107.44
2008-12-01,90.48
2009-01-01,94.06
2009-02-01,89.06
2009-03-01,101.35
2009-04-01,98.74
2009-05-01,98.85
2009-06-01,96.89
2009-07-01,110.38
2009-08-01,77.32
2009-09-01,107.22
2009-10-01,106.68
2009-11-01,104.29
2009-12-01,88.84
2010-01-01,95.4
2010-02-01,94.0
2010-03-01,109.0
2010-04-01,99.9
2010-05-01,104.3
2010-06-01,102.4
2010-07-01,107.9
2010-08-01,82.2
2010-09-01,107.8
2010-10-01,102.6
2010-11-01,103.9
2010-12-01,90.5
2011-01-01,98.9
2011-02-01,98.5
2011-03-01,107.8
2011-04-01,100.0
2011-05-01,106.1
2011-06-01,99.9
2011-07-01,105.1
2011-08-01,84.1
2011-09-01,104.2
2011-10-01,97.7
2011-11-01,100.2
2011-12-01,82.9
2012-01-01,97.9
2012-02-01,95.2
2012-03-01,106.0
2012-04-01,91.3
2012-05-01,103.9
2012-06-01,98.7
2012-07-01,106.1
2012-08-01,84.1
2012-09-01,97.9
2012-10-01,100.8
2012-11-01,98.2
2012-12-01,82.4
2013-01-01,96.3
2013-02-01,92.5
2013-03-01,99.2
2013-04-01,97.7
2013-05-01,105.4
2013-06-01,98.2
2013-07-01,108.3
2013-08-01,81.4
2013-09-01,102.7
2013-10-01,106.2
2013-11-01,103.4
2013-12-01,89.2
