Time,hicp_011600
1995-01-01,74.62
1995-02-01,75.26
1995-03-01,75.34
1995-04-01,76.06
1995-05-01,77.27
1995-06-01,79.12
1995-07-01,79.28
1995-08-01,77.11
1995-09-01,76.79
1995-10-01,77.19
1995-11-01,76.79
1995-12-01,77.19
1996-01-01,77.67
1996-02-01,79.12
1996-03-01,79.92
1996-04-01,80.4
1996-05-01,84.18
1996-06-01,85.7
1996-07-01,84.74
1996-08-01,80.08
1996-09-01,78.63
1996-10-01,77.67
1996-11-01,77.99
1996-12-01,77.83
1997-01-01,78.31
1997-02-01,79.6
1997-03-01,79.36
1997-04-01,80.64
1997-05-01,81.53
1997-06-01,83.13
1997-07-01,82.57
1997-08-01,81.61
1997-09-01,81.2
1997-10-01,81.93
1997-11-01,81.45
1997-12-01,81.37
1998-01-01,81.69
1998-02-01,81.77
1998-03-01,81.45
1998-04-01,82.97
1998-05-01,86.1
1998-06-01,89.0
1998-07-01,89.8
1998-08-01,87.15
1998-09-01,84.5
1998-10-01,82.09
1998-11-01,81.53
1998-12-01,81.53
1999-01-01,83.13
1999-02-01,84.26
1999-03-01,85.06
1999-04-01,85.78
1999-05-01,87.79
1999-06-01,88.03
1999-07-01,86.27
1999-08-01,82.81
1999-09-01,81.69
1999-10-01,81.45
1999-11-01,80.96
1999-12-01,80.72
2000-01-01,82.81
2000-02-01,83.78
2000-03-01,82.97
2000-04-01,84.26
2000-05-01,86.1
2000-06-01,88.03
2000-07-01,87.31
2000-08-01,84.18
2000-09-01,83.29
2000-10-01,82.17
2000-11-01,82.57
2000-12-01,83.37
2001-01-01,85.7
2001-02-01,86.35
2001-03-01,87.71
2001-04-01,89.64
2001-05-01,94.14
2001-06-01,96.47
2001-07-01,97.35
2001-08-01,92.05
2001-09-01,91.16
2001-10-01,90.36
2001-11-01,89.4
2001-12-01,89.56
2002-01-01,93.73
2002-02-01,94.46
2002-03-01,95.42
2002-04-01,97.51
2002-05-01,99.44
2002-06-01,101.29
2002-07-01,97.99
2002-08-01,94.22
2002-09-01,93.57
2002-10-01,93.82
2002-11-01,92.77
2002-12-01,93.25
2003-01-01,96.06
2003-02-01,95.66
2003-03-01,96.47
2003-04-01,98.71
2003-05-01,102.41
2003-06-01,107.07
2003-07-01,105.22
2003-08-01,101.37
2003-09-01,99.2
2003-10-01,98.88
2003-11-01,98.88
2003-12-01,98.55
2004-01-01,100.0
2004-02-01,100.08
2004-03-01,100.16
2004-04-01,101.29
2004-05-01,104.1
2004-06-01,107.87
2004-07-01,104.42
2004-08-01,98.8
2004-09-01,97.83
2004-10-01,97.03
2004-11-01,96.87
2004-12-01,98.15
2005-01-01,98.39
2005-02-01,98.55
2005-03-01,100.32
2005-04-01,101.61
2005-05-01,105.14
2005-06-01,106.27
2005-07-01,101.45
2005-08-01,96.87
2005-09-01,96.31
2005-10-01,97.03
2005-11-01,98.31
2005-12-01,99.76
2006-01-01,99.55
2006-02-01,99.59
2006-03-01,99.31
2006-04-01,99.98
2006-05-01,103.03
2006-06-01,103.87
2006-07-01,103.28
2006-08-01,100.9
2006-09-01,100.12
2006-10-01,100.37
2006-11-01,100.81
2006-12-01,100.68
2007-01-01,100.99
2007-02-01,100.73
2007-03-01,100.98
2007-04-01,102.15
2007-05-01,105.3
2007-06-01,109.64
2007-07-01,106.67
2007-08-01,105.12
2007-09-01,104.72
2007-10-01,105.49
2007-11-01,105.52
2007-12-01,105.54
2008-01-01,106.74
2008-02-01,107.83
2008-03-01,109.01
2008-04-01,110.55
2008-05-01,113.1
2008-06-01,115.6
2008-07-01,116.22
2008-08-01,111.99
2008-09-01,110.48
2008-10-01,109.79
2008-11-01,109.88
2008-12-01,108.86
2009-01-01,109.13
2009-02-01,109.34
2009-03-01,109.97
2009-04-01,110.46
2009-05-01,112.72
2009-06-01,114.35
2009-07-01,109.79
2009-08-01,105.16
2009-09-01,105.26
2009-10-01,105.84
2009-11-01,106.65
2009-12-01,107.0
2010-01-01,107.12
2010-02-01,105.54
2010-03-01,106.61
2010-04-01,109.11
2010-05-01,113.25
2010-06-01,117.45
2010-07-01,114.64
2010-08-01,111.37
2010-09-01,108.84
2010-10-01,109.62
2010-11-01,110.13
2010-12-01,110.12
2011-01-01,110.09
2011-02-01,112.64
2011-03-01,114.74
2011-04-01,114.68
2011-05-01,118.37
2011-06-01,119.22
2011-07-01,114.1
2011-08-01,110.22
2011-09-01,109.73
2011-10-01,112.0
2011-11-01,112.05
2011-12-01,111.6
2012-01-01,110.48
2012-02-01,110.96
2012-03-01,112.51
2012-04-01,113.85
2012-05-01,116.82
2012-06-01,124.28
2012-07-01,118.74
2012-08-01,116.78
2012-09-01,116.18
2012-10-01,118.77
2012-11-01,119.28
2012-12-01,118.34
2013-01-01,118.54
2013-02-01,119.4
2013-03-01,120.86
2013-04-01,122.13
2013-05-01,129.15
2013-06-01,135.07
2013-07-01,132.31
2013-08-01,129.98
2013-09-01,123.02
2013-10-01,121.84
2013-11-01,120.25
2013-12-01,119.28
