Time,ipi_Netherlands
1999-01-01,75.82
1999-02-01,75.63
1999-03-01,89.35
1999-04-01,80.93
1999-05-01,79.7
1999-06-01,87.74
1999-07-01,81.12
1999-08-01,75.72
1999-09-01,89.64
1999-10-01,90.11
1999-11-01,92.66
1999-12-01,90.2
2000-01-01,81.5
2000-02-01,85.66
2000-03-01,95.98
2000-04-01,84.62
2000-05-01,95.22
2000-06-01,90.11
2000-07-01,83.86
2000-08-01,86.13
2000-09-01,93.89
2000-10-01,99.29
2000-11-01,97.96
2000-12-01,87.46
2001-01-01,86.61
2001-02-01,85.09
2001-03-01,95.41
2001-04-01,86.32
2001-05-01,94.08
2001-06-01,92.29
2001-07-01,85.28
2001-08-01,86.04
2001-09-01,90.01
2001-10-01,99.2
2001-11-01,96.07
2001-12-01,84.05
2002-01-01,87.08
2002-02-01,84.05
2002-03-01,92.76
2002-04-01,89.35
2002-05-01,92.38
2002-06-01,92.1
2002-07-01,88.03
2002-08-01,83.96
2002-09-01,92.57
2002-10-01,100.05
2002-11-01,94.84
2002-12-01,84.34
2003-01-01,87.36
2003-02-01,85.19
2003-03-01,92.48
2003-04-01,88.97
2003-05-01,88.88
2003-06-01,89.45
2003-07-01,85.94
2003-08-01,79.13
2003-09-01,93.8
2003-10-01,99.01
2003-11-01,91.91
2003-12-01,89.16
2004-01-01,85.94
2004-02-01,85.75
2004-03-01,98.82
2004-04-01,92.1
2004-05-01,89.16
2004-06-01,99.38
2004-07-01,90.58
2004-08-01,81.5
2004-09-01,97.4
2004-10-01,97.02
2004-11-01,98.53
2004-12-01,95.5
2005-01-01,89.16
2005-02-01,88.59
2005-03-01,99.1
2005-04-01,95.6
2005-05-01,92.38
2005-06-01,100.14
2005-07-01,88.69
2005-08-01,86.32
2005-09-01,100.62
2005-10-01,97.87
2005-11-01,101.66
2005-12-01,95.79
2006-01-01,91.72
2006-02-01,91.34
2006-03-01,104.59
2006-04-01,93.61
2006-05-01,100.05
2006-06-01,103.08
2006-07-01,90.49
2006-08-01,90.39
2006-09-01,100.99
2006-10-01,105.35
2006-11-01,106.96
2006-12-01,97.3
2007-01-01,100.99
2007-02-01,99.76
2007-03-01,110.08
2007-04-01,100.52
2007-05-01,104.5
2007-06-01,107.43
2007-07-01,98.06
2007-08-01,96.73
2007-09-01,104.21
2007-10-01,113.01
2007-11-01,111.22
2007-12-01,99.01
2008-01-01,103.36
2008-02-01,104.12
2008-03-01,104.5
2008-04-01,106.67
2008-05-01,102.41
2008-06-01,107.81
2008-07-01,98.63
2008-08-01,90.68
2008-09-01,107.52
2008-10-01,110.46
2008-11-01,98.63
2008-12-01,93.23
2009-01-01,88.41
2009-02-01,87.46
2009-03-01,96.55
2009-04-01,90.68
2009-05-01,89.64
2009-06-01,96.83
2009-07-01,91.62
2009-08-01,82.35
2009-09-01,100.33
2009-10-01,100.8
2009-11-01,99.38
2009-12-01,97.68
2010-01-01,90.8
2010-02-01,91.6
2010-03-01,108.0
2010-04-01,98.4
2010-05-01,95.6
2010-06-01,106.4
2010-07-01,96.0
2010-08-01,90.5
2010-09-01,105.3
2010-10-01,103.7
2010-11-01,109.3
2010-12-01,104.4
2011-01-01,98.5
2011-02-01,101.2
2011-03-01,112.6
2011-04-01,100.4
2011-05-01,106.2
2011-06-01,103.6
2011-07-01,96.3
2011-08-01,94.9
2011-09-01,108.7
2011-10-01,104.4
2011-11-01,108.9
2011-12-01,104.0
2012-01-01,100.4
2012-02-01,100.6
2012-03-01,112.0
2012-04-01,98.4
2012-05-01,103.5
2012-06-01,105.7
2012-07-01,97.1
2012-08-01,96.2
2012-09-01,102.4
2012-10-01,107.9
2012-11-01,109.5
2012-12-01,97.2
2013-01-01,98.7
2013-02-01,95.8
2013-03-01,104.2
2013-04-01,98.1
2013-05-01,102.0
2013-06-01,102.0
2013-07-01,98.4
2013-08-01,92.9
2013-09-01,104.5
2013-10-01,110.0
2013-11-01,107.7
2013-12-01,103.6
