Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-10-20,16.25,16.989999771118164,14.0,16.260000228881836,37563700,0,0
2017-10-23,16.100000381469727,16.39900016784668,15.119999885559082,15.260000228881836,5753800,0,0
2017-10-24,15.399999618530273,15.859999656677246,14.770000457763672,15.239999771118164,3748300,0,0
2017-10-25,15.100000381469727,15.430000305175781,13.619999885559082,13.729999542236328,4408100,0,0
2017-10-26,13.819999694824219,14.15999984741211,13.8100004196167,14.020000457763672,1850000,0,0
2017-10-27,14.050000190734863,14.130000114440918,13.800000190734863,14.010000228881836,2414100,0,0
2017-10-30,13.979999542236328,14.199999809265137,13.979999542236328,14.100000381469727,1230800,0,0
2017-10-31,14.109999656677246,15.104999542236328,14.09000015258789,15.079999923706055,1664400,0,0
2017-11-01,15.329999923706055,15.489999771118164,15.1899995803833,15.430000305175781,1247900,0,0
2017-11-02,15.270000457763672,15.5,14.899999618530273,15.239999771118164,1190600,0,0
2017-11-03,15.279999732971191,15.390000343322754,14.899999618530273,14.989999771118164,510000,0,0
2017-11-06,15.010000228881836,15.010000228881836,14.890000343322754,15.010000228881836,616600,0,0
2017-11-07,15.0,15.09000015258789,14.90999984741211,15.0,1000100,0,0
2017-11-08,15.0,15.0,14.720000267028809,14.84000015258789,734000,0,0
2017-11-09,14.859999656677246,14.949999809265137,14.470000267028809,14.5,1092600,0,0
2017-11-10,14.520000457763672,14.84000015258789,14.5,14.720000267028809,631500,0,0
2017-11-13,14.569999694824219,14.75,14.479999542236328,14.729999542236328,991800,0,0
2017-11-14,14.850000381469727,15.050000190734863,14.821999549865723,15.010000228881836,1124700,0,0
2017-11-15,15.0,15.0,14.600000381469727,14.710000038146973,712200,0,0
2017-11-16,15.229999542236328,15.25,14.960000038146973,15.029999732971191,732800,0,0
2017-11-17,15.0,15.619999885559082,15.0,15.0,1253300,0,0
2017-11-20,15.460000038146973,15.59000015258789,15.149999618530273,15.489999771118164,786200,0,0
2017-11-21,15.699999809265137,15.729999542236328,14.779999732971191,14.779999732971191,1377900,0,0
2017-11-22,14.779999732971191,14.989999771118164,13.720000267028809,13.850000381469727,3799400,0,0
2017-11-24,13.880000114440918,13.960000038146973,12.880000114440918,13.329999923706055,2265600,0,0
2017-11-27,13.3100004196167,13.5600004196167,12.520000457763672,12.670000076293945,2934100,0,0
2017-11-28,12.609999656677246,12.710000038146973,10.817000389099121,11.449999809265137,4752700,0,0
2017-11-29,11.5,12.140000343322754,10.78499984741211,10.970000267028809,3725800,0,0
2017-11-30,11.319999694824219,11.9399995803833,11.220000267028809,11.600000381469727,2325500,0,0
2017-12-01,11.729999542236328,12.59000015258789,11.649999618530273,12.430000305175781,1403700,0,0
2017-12-04,12.319999694824219,12.319999694824219,11.859999656677246,11.979999542236328,1471900,0,0
2017-12-05,11.890000343322754,13.020000457763672,11.779999732971191,12.729999542236328,2044900,0,0
2017-12-06,12.979999542236328,13.210000038146973,12.029999732971191,12.130000114440918,1788100,0,0
2017-12-07,12.199999809265137,12.998000144958496,12.199999809265137,12.920000076293945,1779600,0,0
2017-12-08,12.979999542236328,13.319999694824219,12.836999893188477,13.289999961853027,937800,0,0
2017-12-11,13.329999923706055,13.600000381469727,12.699999809265137,13.40999984741211,1209000,0,0
2017-12-12,13.34000015258789,13.449999809265137,12.930000305175781,13.1899995803833,1054500,0,0
2017-12-13,13.15999984741211,13.180000305175781,12.696000099182129,12.720000267028809,477800,0,0
2017-12-14,12.770000457763672,13.0,11.720000267028809,11.770000457763672,1117400,0,0
2017-12-15,11.729999542236328,12.079999923706055,11.579999923706055,12.0,1469900,0,0
2017-12-18,11.949999809265137,12.229999542236328,11.899999618530273,11.920000076293945,1689400,0,0
